,0
Paid washer \u2013 In building,974
Paid dryer \u2013 In building,955
Public or shared beach access,945
Gym,887
Fireplace guards,886
standard cable,882
Stainless steel gas stove,870
Hot tub,868
Babysitter recommendations,857
Courtyard view,848
and dresser,835
Beach access,820
Private hot tub,818
Indoor fireplace: gas,803
Breakfast,800
Smoking allowed,795
Apple TV,791
Portable air conditioning,772
Trash compactor,746
Amazon Prime Video,725
Shared pool,713
Heating - split type ductless system,713
EV charger,710
Mosquito net,708
closet,698
Shared hot tub,695
Bidet,679
Hammock,672
Paid parking off premises,638
Pool view,634
open specific hours,610
Free driveway parking on premises \u2013 1 space,600
Ocean view,589
Outlet covers,563
Valley view,563
Pack \u2019n play/Travel crib - available upon request,550
Private living room,547
Paid parking on premises,546
Outdoor shower,544
Bikes,514
Piano,507
Fire TV,504
Beach view,492
Pocket wifi,488
premium cable,484
Waterfront,476
Sound system,458
open 24 hours,441
Clothing storage: walk-in closet and closet,416
BBQ grill: gas,414
Baby bath,409
Shared gym in building,406
Private pool,402
Pool table,398
Building staff,395
Exercise equipment: free weights,388
Electric stove,379
wardrobe,374
Private outdoor pool - available all year,373
yoga mat,366
Radiant heating,365
Keurig coffee machine,362
Window guards,361
Private backyard \u2013 Not fully fenced,357
Record player,353
Clothing storage: wardrobe,351
Pack \u2019n play/Travel crib - always at the listing,350
Bread maker,338
Baby safety gates,334
Paid street parking off premises,331
EV charger - level 2,329
Ping pong table,328
Coffee maker: Nespresso,322
Beach access \u2013 Beachfront,322
Coffee maker: french press,316
Indoor fireplace: electric,311
heated,309
Shared outdoor pool - available all year,297
Coffee maker: pour-over coffee,295
Indoor fireplace: wood-burning,295
Private BBQ grill: gas,287
pour-over coffee,283
Coffee maker: espresso machine,280
HDTV with Amazon Prime Video,280
Dove body soap,277
Free driveway parking on premises \u2013 2 spaces,277
"55\"" HDTV with Amazon Prime Video",277
Shared backyard \u2013 Not fully fenced,276
Free driveway parking on premises,267
Game console,255
Free dryer,254
french press,254
HDTV,251
HDTV with Netflix,248
Chromecast,246
Bluetooth sound system,245
Park view,240
Changing table,230
Crib - available upon request,225
Resort access,224
Sea view,217
Private hot tub - available all year,212
Children\u2019s books and toys for ages 0-2 years old,202
Private gym in building,202
Private backyard,196
DVD player,190
Stainless steel stove,188
BBQ grill: charcoal,186
"65\"" HDTV with Amazon Prime Video",183
TV with Netflix,178
Outdoor kitchen,178
Nespresso,173
HDTV with Roku,173
2-5 years old,173
"55\"" HDTV with Netflix",172
Clothing storage: dresser,169
stationary bike,164
Crib - always at the listing,164
Samsung refrigerator,163
Free washer,161
Stainless steel single oven,161
Clothing storage: closet and wardrobe,158
Bay view,158
GE stainless steel gas stove,158
and 10+ years old,157
5-10 years old,157
Free parking garage on premises \u2013 1 space,154
Private outdoor kitchen,147
"55\"" HDTV with Roku",146
Pantene conditioner,143
pool toys,137
"55\"" HDTV",136
"50\"" HDTV with Amazon Prime Video",136
HDTV with standard cable,136
Exercise equipment: yoga mat,136
saltwater,134
TV with Roku,134
Free carport on premises \u2013 1 space,134
"65\"" HDTV with Netflix",133
Pantene shampoo,133
Shared backyard,130
treadmill,129
Free residential garage on premises \u2013 1 space,128
"65\"" HDTV",127
Shared hot tub - available all year,127
Clothing storage: walk-in closet and dresser,127
Table corner guards,125
wood-burning,123
Samsung stainless steel gas stove,121
Kitchenette,117
Baby monitor,117
Paid parking lot off premises,116
Exercise equipment: elliptical,115
Lake access,114
Public or shared beach access \u2013 Beachfront,111
Standalone high chair - available upon request,111
Marina view,109
Clothing storage: wardrobe and dresser,109
LG refrigerator,107
Harbor view,107
Sonos Bluetooth sound system,104
Children\u2019s books and toys for ages 2-5 years old,103
HDTV with Apple TV,103
"50\"" HDTV with Roku",102
Paid parking garage off premises,101
"50\"" HDTV with Netflix",101
EV charger - level 1,100
Free parking garage on premises \u2013 2 spaces,98
GE gas stove,96
Single oven,96
Stainless steel electric stove,96
tesla only,94
Free residential garage on premises \u2013 2 spaces,93
Shared BBQ grill: gas,92
Paid washer \u2013 In unit,92
Free driveway parking on premises \u2013 3 spaces,91
free weights,90
Whirlpool refrigerator,90
Dryer \u2013\u00a0In unit,90
Shared gym nearby,89
Children\u2019s books and toys for ages 0-2 years old and 2-5 years old,89
Dove conditioner,87
espresso machine,87
Shared sauna,84
Whirlpool stainless steel gas stove,84
Private sauna,83
gas,82
Frigidaire stainless steel gas stove,82
lap pool,81
Desert view,81
Standalone high chair - always at the listing,79
Sound system with Bluetooth and aux,79
TV with Amazon Prime Video,78
Paid dryer \u2013 In unit,78
Induction stove,78
Shared pool - available all year,76
"65\"" HDTV with Roku",76
Kayak,74
Washer \u2013\u00a0In unit,72
Samsung stainless steel oven,72
"50\"" HDTV",71
Dryer \u2013 In building,70
"55\"" HDTV with standard cable",70
Free parking on premises \u2013 1 space,70
Private BBQ grill: charcoal,68
Canal view,68
Dove shampoo,68
"60\"" HDTV with Amazon Prime Video",67
GE refrigerator,66
Washer \u2013\u00a0In building,66
Paid parking garage on premises,65
HDTV with Hulu,64
Exercise equipment: stationary bike,62
Resort view,61
Whirlpool gas stove,61
Viking stainless steel gas stove,61
Free residential garage on premises,60
Paid parking garage on premises \u2013 1 space,59
Free resort access,59
and 5-10 years old,58
"75\"" HDTV with Amazon Prime Video",55
Paid pack \u2019n play/travel crib - available upon request,55
Shared outdoor kitchen,54
"42\"" HDTV with Amazon Prime Video",54
rooftop,54
HDTV with Fire TV,53
Golf course view,53
TV with Apple TV,52
Free parking garage on premises,52
Shared outdoor pool - available seasonally,52
Backyard - Fully fenced,51
Paid parking lot on premises \u2013 1 space,51
Frigidaire refrigerator,50
Game console: PS4,50
Private pool - available all year,50
"55\"" HDTV with Disney+",49
LG stainless steel gas stove,49
"32\"" HDTV with Amazon Prime Video",46
Free driveway parking on premises \u2013 4 spaces,46
Frigidaire gas stove,46
HDTV with premium cable,45
Samsung gas stove,44
"40\"" HDTV with Amazon Prime Video",44
Other stainless steel gas stove,43
and wardrobe,43
Paid dryer,43
Whirlpool stainless steel oven,42
Lake view,42
"55\"" HDTV with Apple TV",42
Folding or convertible high chair - always at the listing,42
Children\u2019s books and toys for ages 2-5 years old and 5-10 years old,42
"43\"" HDTV with Amazon Prime Video",41
Folding or convertible high chair - available upon request,41
Paid washer,41
Other gas stove,40
HDTV with Disney+,40
Kirkland conditioner,40
HDTV with HBO Max,40
Private outdoor pool - available seasonally,40
Free carport on premises,39
Sauna,39
Stainless steel double oven,39
Public Goods conditioner,39
Public Goods shampoo,39
"65\"" HDTV with Apple TV",38
High chair - available upon request,38
Baby bath - available upon request,38
Kirkland body soap,38
Sonos sound system,38
"42\"" HDTV with Roku",37
"43\"" HDTV with Roku",37
Samsung  refrigerator,36
Public Goods body soap,36
Sound system with aux,36
KitchenAid stainless steel gas stove,35
Free carport on premises \u2013 2 spaces,35
Varies conditioner,35
"65\"" HDTV with standard cable",35
Standalone high chair,34
"75\"" HDTV",34
Shared BBQ grill,34
LG stainless steel oven,34
pool cover,34
Outdoor kitchen with sink,34
"55\"" HDTV with Hulu",33
Viking stainless steel oven,33
Varies body soap,32
Kenmore gas stove,32
Generic body soap,32
Dove  body soap,31
"32\"" HDTV with Roku",31
"40\"" HDTV with Netflix",31
Private gym,31
"60\"" HDTV with Netflix",31
"32\"" HDTV",30
GE stainless steel oven,30
"43\"" HDTV with Netflix",30
"50\"" HDTV with standard cable",30
Paid resort access,29
Bosch stainless steel gas stove,29
Vineyard view,28
"75\"" HDTV with Netflix",28
"50\"" HDTV with Hulu",28
Suave conditioner,28
"40\"" HDTV",27
"42\"" HDTV with Netflix",27
Generic conditioner,27
Kirkland shampoo,27
Shared gym,27
"65\"" HDTV with Disney+",26
TV with Fire TV,26
"70\"" HDTV with Amazon Prime Video",26
"55\"" TV",26
Baby bath - always at the listing,26
Paid parking lot on premises,25
Children\u2019s books and toys for ages 5-10 years old,25
"55\"" HDTV with HBO Max",25
Shared BBQ grill: charcoal,25
TV with HBO Max,25
Ginger Lily Farms conditioner,25
Ginger Lily Farms shampoo,24
Various conditioner,24
Paid parking garage on premises \u2013 2 spaces,24
BBQ grill: electric,24
Kenmore refrigerator,24
Gym in building,24
GE stainless steel electric stove,24
Whirlpool  refrigerator,24
"55\"" HDTV with Chromecast",23
Suave shampoo,23
"65\"" HDTV with Hulu",23
Private outdoor pool,23
"55\"" HDTV with Fire TV",23
Frigidaire stainless steel oven,23
Olay body soap,23
"42\"" HDTV",23
Suave body soap,23
"55\"" HDTV with premium cable",23
Bose Bluetooth sound system,23
Double oven,23
TV with DVD player,22
"60\"" HDTV with Apple TV",22
infinity,22
Wolf stainless steel gas stove,22
"50\"" TV",22
"48\"" HDTV with Amazon Prime Video",22
Children\u2019s books and toys for ages 5-10 years old and 10+ years old,22
"40\"" HDTV with Roku",21
Bosch refrigerator,21
HDTV with Chromecast,21
Exercise equipment: treadmill,21
LG gas stove,21
"60\"" HDTV",21
Paid crib - available upon request,21
Game console: Xbox One,21
olympic-sized,21
GE stainless steel single oven,20
River view,20
TV with premium cable,20
Aesop body soap,20
TV with Hulu,20
Organic conditioner,20
Shared pool -,20
"65\"" HDTV with HBO Max",20
"60\"" HDTV with standard cable",20
Bosch stainless steel oven,20
Pantene  shampoo,20
Shared outdoor pool - open specific hours,19
"42\"" HDTV with standard cable",19
Thermador stainless steel gas stove,19
Generic shampoo,19
AEG gas stove,19
Private outdoor pool - heated,18
Samsung stainless steel single oven,18
Shared outdoor pool,18
Clothing storage: walk-in closet and wardrobe,18
"70\"" HDTV with Netflix",18
Kenmore stainless steel gas stove,18
Free parking on premises \u2013 2 spaces,18
"50\"" HDTV with Apple TV",18
Organic body soap,18
"65\"" HDTV with premium cable",18
"60\"" HDTV with Roku",17
Changing table - available upon request,17
Other electric stove,17
Neutrogena body soap,17
"65\"" HDTV with Fire TV",17
Kirkland  body soap,17
Pantene  conditioner,17
TV with Disney+,17
AEG stainless steel gas stove,16
Game console: PS5,16
Viking gas stove,16
"32\"" HDTV with Netflix",16
"43\"" HDTV",16
Various body soap,16
Aesop conditioner,16
Boat slip,16
"45\"" HDTV with Netflix",16
Fast wifi \u2013 229 Mbps,16
Aesop shampoo,16
Game console: Xbox 360,15
"40\"" TV with Roku",15
Changing table - always at the listing,15
TV with Chromecast,15
"50\"" HDTV with Fire TV",15
Jason,15
Stainless steel induction stove,15
Fast wifi \u2013 343 Mbps,15
Fast wifi \u2013 56 Mbps,15
"45\"" HDTV with Hulu",15
"50\"" TV with Roku",15
"50\"" HDTV with HBO Max",15
Dove  conditioner,15
Game console: Nintendo Switch,15
Bertazzoni stainless steel gas stove,15
"65\"" TV",15
"40\"" HDTV with standard cable",15
Frigidaire  refrigerator,15
Aveeno body soap,14
"45\"" HDTV with Amazon Prime Video",14
Private gym nearby,14
"32\"" HDTV with standard cable",14
Subzero refrigerator,14
Varies shampoo,14
Tresemme shampoo,14
Fast wifi \u2013 213 Mbps,14
Organic shampoo,14
Various shampoo,14
Sub Zero refrigerator,14
Shared pool - available seasonally,14
Baby monitor - available upon request,14
Thermador stainless steel oven,14
"55\"" TV with Roku",13
Kitchen Aid refrigerator,13
"52\"" HDTV with Amazon Prime Video",13
Shared hot tub - open specific hours,13
"42\"" HDTV with Apple TV",13
Folding or convertible high chair,13
KitchenAid gas stove,13
High chair - always at the listing,13
Paid parking lot on premises \u2013 2 spaces,13
"55\"" TV with Netflix",13
Whirlpool oven,13
Booster seat high chair - always at the listing,13
Free driveway parking on premises \u2013 6 spaces,13
"50\"" HDTV with Disney+",13
Toaster oven oven,12
Fast wifi \u2013 219 Mbps,12
Private pool - available seasonally,12
Eco body soap,12
"47\"" HDTV with Amazon Prime Video",12
"70\"" HDTV",12
Paid parking on premises \u2013 1 space,12
Fast wifi \u2013 83 Mbps,12
"65\"" HDTV with Chromecast",12
Fast wifi \u2013 333 Mbps,12
Dove  shampoo,12
Nexxus conditioner,12
Fast wifi \u2013 57 Mbps,12
"75\"" HDTV with Apple TV",12
Sonos  Bluetooth sound system,12
"45\"" HDTV with Roku",12
Viking refrigerator,12
Fast wifi \u2013 80 Mbps,12
Clamp on table seat high chair - available upon request,12
Bertazzoni stainless steel oven,12
Trader Joe's body soap,12
"46\"" HDTV with Amazon Prime Video",12
Fast wifi \u2013 53 Mbps,12
Thermador gas stove,12
Gym nearby,12
Avalon Organics,12
Fast wifi \u2013 223 Mbps,12
Nexxus shampoo,11
GE electric stove,11
Dial body soap,11
Samsung stainless steel stove,11
Fast wifi \u2013 250 Mbps,11
Tresemme conditioner,11
Whirlpool stainless steel single oven,11
"58\"" HDTV with Amazon Prime Video",11
"50\"" HDTV with Chromecast",11
Dove,11
"50\"" TV with Netflix",11
"32\"" TV",11
"55\"" TV with Amazon Prime Video",11
Bose sound system with Bluetooth and aux,11
Frigidaire stainless steel electric stove,11
Free parking garage on premises \u2013 3 spaces,11
Kenmore stainless steel oven,11
"240\"" HDTV with Amazon Prime Video",11
Indoor fireplace: ethanol,11
Costco body soap,11
Fast wifi \u2013 221 Mbps,10
"75\"" HDTV with standard cable",10
Bosch gas stove,10
GE oven,10
Generic  body soap,10
Free residential garage on premises \u2013 3 spaces,10
Shared outdoor pool - heated,10
Fast wifi \u2013 93 Mbps,10
"48\"" HDTV with Netflix",10
Frigidaire stainless steel single oven,10
Private BBQ grill: electric,10
Fast wifi \u2013 51 Mbps,10
Fast wifi \u2013 86 Mbps,10
Smeg refrigerator,10
Fast wifi \u2013 341 Mbps,10
"58\"" HDTV",10
Trader Joe's conditioner,10
HDTV with DVD player,10
"48\"" HDTV with Roku",10
"58\"" HDTV with Roku",10
Paid parking lot on premises \u2013 30 spaces,10
"32\"" TV with Roku",10
BBQ grill: wood-burning,10
Fast wifi \u2013 327 Mbps,10
Samsung stainless steel electric stove,10
"40\"" TV",10
Free parking garage on premises \u2013 4 spaces,10
Whirlpool  stainless steel oven,10
Backyard - Not fully fenced,10
Frigidaire  stainless steel oven,10
Ivory body soap,10
Magic Chef refrigerator,10
Fast wifi \u2013 224 Mbps,10
Booster seat high chair - available upon request,10
Costco conditioner,10
Pantene,10
Fast wifi \u2013 233 Mbps,10
Fast wifi \u2013 96 Mbps,10
Eco conditioner,9
Private beach access \u2013 Beachfront,9
Fast wifi \u2013 344 Mbps,9
Ginger Lily Farms body soap,9
Fast wifi \u2013 104 Mbps,9
Samsung  stainless steel gas stove,9
Fast wifi \u2013 60 Mbps,9
100% Vegan & Cruelty-Free,9
Fast wifi \u2013 338 Mbps,9
Fast wifi \u2013 62 Mbps,9
Fast wifi \u2013 90 Mbps,9
Fast wifi \u2013 218 Mbps,9
"85\"" HDTV with Amazon Prime Video",9
"24\"" HDTV",9
"42\"" HDTV with Hulu",9
Body wash body soap,9
"42\"" HDTV with HBO Max",9
Fast wifi \u2013 92 Mbps,9
Miele refrigerator,9
Fast wifi \u2013 94 Mbps,9
"40\"" HDTV with Apple TV",9
Fast wifi \u2013 70 Mbps,9
Children\u2019s books and toys for ages 10+ years old,9
Fast wifi \u2013 336 Mbps,9
"70\"" HDTV with Roku",9
Shared hot tub - available seasonally,9
Private pool -,9
"42\"" TV with Roku",9
"43\"" HDTV with Disney+",9
Wolf gas stove,9
Free driveway parking on premises \u2013 5 spaces,9
Fast wifi \u2013 140 Mbps,9
Fast wifi \u2013 355 Mbps,9
Thermador refrigerator,9
Private BBQ grill,9
Samsung Bluetooth sound system,9
Fast wifi \u2013 99 Mbps,9
Lg refrigerator,8
Fast wifi \u2013 54 Mbps,8
Wolf stainless steel oven,8
Fast wifi \u2013 315 Mbps,8
Fast wifi \u2013 81 Mbps,8
"58\"" HDTV with Netflix",8
Fast wifi \u2013 101 Mbps,8
Miele stainless steel oven,8
Fast wifi \u2013 303 Mbps,8
"54\"" HDTV with Netflix",8
Fast wifi \u2013 100 Mbps,8
TRESemm\u00e9 conditioner,8
Thor stainless steel gas stove,8
"32\"" TV with Netflix",8
Kenmore  refrigerator,8
Native shampoo,8
Fast wifi \u2013 335 Mbps,8
Fast wifi \u2013 319 Mbps,8
Native conditioner,8
Fast wifi \u2013 120 Mbps,8
Whirlpool stainless steel electric stove,8
TRESemm\u00e9 shampoo,8
Fast wifi \u2013 317 Mbps,8
"45\"" HDTV",8
Paul Mitchell conditioner,8
Whish body soap,8
Fast wifi \u2013 300 Mbps,8
Method body soap,8
DOVE body soap,8
Fast wifi \u2013 388 Mbps,8
Fast wifi \u2013 359 Mbps,8
Alexa Bluetooth sound system,8
Kirkland  shampoo,8
Fast wifi \u2013 88 Mbps,8
Fast wifi \u2013 263 Mbps,8
Fast wifi \u2013 214 Mbps,8
Private outdoor pool -,8
Fast wifi \u2013 351 Mbps,8
Whish conditioner,8
Shampoo shampoo,8
"48\"" HDTV with Apple TV",8
Fast wifi \u2013 151 Mbps,8
KitchenAid refrigerator,8
"42\"" TV",8
Fast wifi \u2013 52 Mbps,8
Samsung  stainless steel oven,8
Fast wifi \u2013 109 Mbps,8
Fast wifi \u2013 65 Mbps,8
Alexa sound system,7
oven,7
"65\"" TV with Netflix",7
Sony Bluetooth sound system,7
Fast wifi \u2013 366 Mbps,7
Kirkland  conditioner,7
Samsung  oven,7
Wifi \u2013 33 Mbps,7
"60\"" HDTV with HBO Max",7
Fast wifi \u2013 371 Mbps,7
Samsung oven,7
Other induction stove,7
Fast wifi \u2013 84 Mbps,7
Fast wifi \u2013 68 Mbps,7
Costco shampoo,7
"32\"" HDTV with Fire TV",7
FRIGIDAIRE refrigerator,7
KitchenAid stainless steel oven,7
"65\"" TV with Amazon Prime Video",7
"55\"" TV with Fire TV",7
Fast wifi \u2013 55 Mbps,7
"72\"" HDTV with Amazon Prime Video",7
Wifi \u2013 43 Mbps,7
Booster seat high chair,7
"60\"" HDTV with Fire TV",7
Fast wifi \u2013 146 Mbps,7
"32\"" TV with standard cable",7
"60\"" HDTV with Hulu",7
"70\"" HDTV with standard cable",7
Frigidaire electric stove,7
LG electric stove,7
"42\"" HDTV with premium cable",7
Trader Joes conditioner,7
Other stainless steel electric stove,7
Pantene body soap,7
Private hot tub - available seasonally,7
Galanz refrigerator,7
"80\"" HDTV with Amazon Prime Video",7
Fast wifi \u2013 89 Mbps,7
Native body soap,7
"48\"" HDTV with standard cable",7
Fast wifi \u2013 87 Mbps,7
Fast wifi \u2013 122 Mbps,7
Paid folding or convertible high chair - available upon request,7
Fast wifi \u2013 95 Mbps,7
Fast wifi \u2013 102 Mbps,7
Whirlpool electric stove,7
Fast wifi \u2013 370 Mbps,7
Fast wifi \u2013 71 Mbps,7
"60\"" HDTV with premium cable",7
Frigidaire oven,7
Paid standalone high chair - available upon request,7
Whirlpool stainless steel stove,7
Fast wifi \u2013 187 Mbps,7
"36\"" HDTV with Netflix",7
Fast wifi \u2013 349 Mbps,7
Shared outdoor pool -,7
Beekman body soap,7
Fast wifi \u2013 239 Mbps,7
Clamp on table seat high chair - always at the listing,7
Amana gas stove,7
"32\"" HDTV with Apple TV",7
Game console: Nintendo Wii,7
"46\"" HDTV with Netflix",7
"40\"" HDTV with Chromecast",6
Frigidaire  stainless steel gas stove,6
"50\"" HDTV with premium cable",6
Fast wifi \u2013 289 Mbps,6
Fast wifi \u2013 234 Mbps,6
Wifi \u2013 38 Mbps,6
Trader Joe's shampoo,6
Fast wifi \u2013 246 Mbps,6
Whirpool refrigerator,6
or similar conditioner,6
Fast wifi \u2013 365 Mbps,6
Luseta,6
Viking stainless steel stove,6
"24\"" HDTV with Amazon Prime Video",6
Fast wifi \u2013 339 Mbps,6
"52\"" HDTV with Netflix",6
Fast wifi \u2013 277 Mbps,6
or similar body soap,6
Marshall sound system with Bluetooth and aux,6
Mini fridge refrigerator,6
Fast wifi \u2013 59 Mbps,6
Nivea shampoo,6
"52\"" HDTV with standard cable",6
Love,6
Conditioner conditioner,6
Fast wifi \u2013 330 Mbps,6
Suave  conditioner,6
Game console: PS3,6
or similar shampoo,6
Fast wifi \u2013 368 Mbps,6
"70\"" HDTV with Disney+",6
Wifi \u2013 28 Mbps,6
"50\"" TV with Amazon Prime Video",6
Fast wifi \u2013 119 Mbps,6
"43\"" HDTV with premium cable",6
"60\"" HDTV with Disney+",6
Wifi \u2013 30 Mbps,6
"62\"" HDTV with Amazon Prime Video",6
Fast wifi \u2013 63 Mbps,6
Fast wifi \u2013 310 Mbps,6
Maytag oven,6
"30\"" TV with Apple TV",6
"55\"" TV with standard cable",6
Whirlpool  oven,6
Insignia refrigerator,6
Fast wifi \u2013 354 Mbps,6
Bosch stainless steel electric stove,6
"36\"" HDTV with Roku",6
Fast wifi \u2013 472 Mbps,6
Wifi \u2013 19 Mbps,6
Fast wifi \u2013 230 Mbps,6
Eco Brand conditioner,6
"75\"" HDTV with Roku",6
Fast wifi \u2013 443 Mbps,6
Fast wifi \u2013 440 Mbps,6
Fast wifi \u2013 334 Mbps,6
Fast wifi \u2013 464 Mbps,6
Fast wifi \u2013 256 Mbps,6
Wifi \u2013 25 Mbps,6
"46\"" HDTV with Roku",6
Samsung  Bluetooth sound system,6
LG stainless steel stove,6
Wifi \u2013 29 Mbps,6
Fast wifi \u2013 468 Mbps,6
Amana refrigerator,6
Beekman conditioner,6
TRESemme conditioner,6
Fast wifi \u2013 78 Mbps,6
"43\"" TV",6
TRESemme shampoo,6
Fast wifi \u2013 134 Mbps,6
Fast wifi \u2013 316 Mbps,6
Breakfast bar,6
Fast wifi \u2013 232 Mbps,6
Fast wifi \u2013 228 Mbps,6
"42\"" HDTV with Chromecast",6
Fast wifi \u2013 85 Mbps,6
Fast wifi \u2013 361 Mbps,6
"85\"" HDTV with Netflix",6
Fast wifi \u2013 217 Mbps,6
Fast wifi \u2013 227 Mbps,6
Fast wifi \u2013 259 Mbps,6
Fast wifi \u2013 75 Mbps,6
Fast wifi \u2013 58 Mbps,6
"52\"" HDTV with Roku",6
Fast wifi \u2013 313 Mbps,6
Fast wifi \u2013 82 Mbps,6
"32\"" TV with Fire TV",6
Fast wifi \u2013 67 Mbps,6
Ge refrigerator,6
Miele stainless steel gas stove,6
Yamaha Bluetooth sound system,6
Avalon Organics shampoo,6
Fast wifi \u2013 240 Mbps,6
Dacor stainless steel gas stove,6
JBL Bluetooth sound system,6
"40\"" HDTV with Disney+",6
"42\"" HDTV with Fire TV",6
Avalon Organics conditioner,6
Kitchen Aid stainless steel gas stove,6
"43\"" HDTV with Apple TV",6
Puracy,6
Avalon Organics body soap,6
Fast wifi \u2013 306 Mbps,6
Fast wifi \u2013 113 Mbps,5
Wifi \u2013 44 Mbps,5
TRESEMME shampoo,5
Fast wifi \u2013 346 Mbps,5
Wifi \u2013 23 Mbps,5
Sonos sound system with Bluetooth and aux,5
Herbal Essence shampoo,5
Toaster oven stainless steel oven,5
and Xbox Series X,5
Fast wifi \u2013 200 Mbps,5
Clamp on table seat high chair,5
Outdoor pool - available all year,5
Fast wifi \u2013 177 Mbps,5
Fast wifi \u2013 442 Mbps,5
phthalates,5
Whirlpool  stainless steel single oven,5
"75\"" HDTV with HBO Max",5
Fast wifi \u2013 462 Mbps,5
Fast wifi \u2013 125 Mbps,5
Mini refrigerator,5
Fast wifi \u2013 454 Mbps,5
Wifi \u2013 10 Mbps,5
"47\"" HDTV with Netflix",5
"80\"" HDTV",5
Fast wifi \u2013 116 Mbps,5
Fast wifi \u2013 347 Mbps,5
Samsung electric stove,5
LG stainless steel electric stove,5
Wifi \u2013 40 Mbps,5
Random body soap,5
Fast wifi \u2013 340 Mbps,5
"40\"" HDTV with Hulu",5
Wifi \u2013 36 Mbps,5
Fast wifi \u2013 375 Mbps,5
Wifi \u2013 31 Mbps,5
"48\"" HDTV",5
Fast wifi \u2013 150 Mbps,5
"42\"" TV with Netflix",5
Viking oven,5
"70\"" HDTV with premium cable",5
Fast wifi \u2013 79 Mbps,5
Fast wifi \u2013 209 Mbps,5
shampoo,5
Fast wifi \u2013 328 Mbps,5
Free driveway parking on premises \u2013 8 spaces,5
Paid valet parking on premises,5
Eco Brand shampoo,5
Sonos  sound system,5
Pantene Pro V shampoo,5
Free driveway parking on premises \u2013 10 spaces,5
Fast wifi \u2013 358 Mbps,5
Dr Bronners body soap,5
parabens,5
Fast wifi \u2013 490 Mbps,5
Fast wifi \u2013 204 Mbps,5
Fast wifi \u2013 280 Mbps,5
GE induction stove,5
Paid parking lot on premises \u2013 4 spaces,5
Wifi \u2013 41 Mbps,5
GE single oven,5
Fast wifi \u2013 179 Mbps,5
Fast wifi \u2013 312 Mbps,5
Head and Shoulders conditioner,5
Pool - pool toys,5
Generic  conditioner,5
Fast wifi \u2013 130 Mbps,5
Aussie shampoo,5
Polk sound system with Bluetooth and aux,5
Fast wifi \u2013 356 Mbps,5
Fast wifi \u2013 331 Mbps,5
"43\"" HDTV with Fire TV",5
Random conditioner,5
"65\"" TV with Roku",5
Fast wifi \u2013 61 Mbps,5
Vizio Bluetooth sound system,5
Puracy shampoo,5
Puracy conditioner,5
Fast wifi \u2013 210 Mbps,5
Outdoor kitchen with oven,5
Herbal Essence conditioner,5
Fast wifi \u2013 337 Mbps,5
Eco shampoo,5
Bergman Kelly shampoo,5
Fast wifi \u2013 311 Mbps,5
Nivea body soap,5
Oil of Olay body soap,5
Fast wifi \u2013 203 Mbps,5
Fast wifi \u2013 441 Mbps,5
Nivea conditioner,5
Various  body soap,5
Kirkland,5
Full Size refrigerator,5
